['image634037_1.png', 19, 19, 19, 19, 20, 20, 19, 18, 18, 18, 19, 19, 19, 18, 19, 19, 19, 19, 18, 18, 18, 18, 17, 17, 17, 18, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 14, 14, 14, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 15, 14, 14, 14, 15, 15, 14, 15, 14, 15, 15, 16, 15, 15, 16, 16, 16, 15, 15]
['image634037_2.png', 19, 19, 19, 19, 20, 19, 19, 19, 18, 18, 18, 18, 19, 19, 19, 18, 18, 19, 18, 18, 18, 18, 18, 17, 18, 18, 17, 17, 17, 17, 17, 16, 16, 16, 16, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 14, 15, 15, 15, 15, 14, 15, 15, 15, 14, 14, 15, 15, 14, 14, 15, 14, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 15, 15, 14, 15, 14, 14, 15, 15, 14, 15, 15, 15, 15, 15, 14]
['image634037_3.png', 19, 19, 19, 19, 20, 19, 19, 19, 18, 18, 18, 19, 19, 18, 18, 18, 17, 17, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 16, 16, 16, 16, 17, 16, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 14, 14, 15, 14, 14, 14, 15, 14, 14, 15, 14, 14, 15, 14, 14, 15, 15, 15, 14, 15, 14]
['image634037_4.png', 18, 19, 19, 19, 20, 20, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 17, 18, 18, 18, 18, 17, 17, 17, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 15, 15, 15, 14, 14, 15, 14, 14, 14, 14, 14, 13, 14, 14, 14, 13, 14, 14, 14, 14, 14, 14, 14, 14]
['image634037_5.png', 19, 19, 19, 19, 20, 19, 19, 19, 19, 19, 20, 19, 19, 19, 18, 18, 18, 18, 17, 17, 17, 17, 16, 17, 17, 17, 17, 16, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 16, 16, 17, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 15, 14, 15, 15, 15, 14, 15, 15, 15, 14, 15, 15, 15, 14, 14, 15, 15, 14, 14, 14, 14, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]
['image634037_6.png', 19, 19, 19, 19, 19, 19, 20, 19, 19, 19, 19, 20, 19, 19, 19, 18, 18, 18, 17, 17, 18, 17, 17, 17, 17, 17, 16, 17, 17, 17, 17, 16, 16, 16, 16, 16, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 16, 16, 16, 15, 15, 15, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 14, 14, 14, 15, 15, 15, 14, 14, 15, 14, 14, 14, 14, 14, 14, 13, 13, 14, 14, 13, 14, 14, 14, 13, 14, 14, 14, 14]
['image634037_7.png', 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 16, 17, 17, 17, 17, 17, 16, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 14, 14, 14, 15, 14, 14, 14, 14, 14, 13, 13, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 14]
['image634037_8.png', 19, 19, 19, 19, 19, 20, 19, 19, 19, 19, 18, 19, 19, 19, 18, 18, 18, 18, 18, 17, 18, 17, 17, 17, 17, 17, 17, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 16, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 14, 14, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 15, 14, 15, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 13, 14, 14, 13, 14, 14, 14, 14, 13]
['image634037_9.png', 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 18, 19, 19, 19, 18, 18, 18, 17, 17, 17, 18, 18, 17, 17, 17, 17, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 17, 16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 15, 15, 15, 14, 14, 15, 15, 14, 14, 15, 15, 14, 14, 14, 15, 15, 14, 14, 15, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 13, 14, 14, 13, 13, 14, 14, 14, 14]
['image634037_10.png', 19, 19, 19, 19, 20, 20, 20, 19, 19, 19, 19, 18, 18, 19, 18, 18, 18, 18, 17, 18, 18, 18, 17, 17, 17, 17, 17, 16, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 14, 15, 15, 14, 14, 15, 15, 15, 14, 14, 15, 14, 14, 14, 13, 14, 13, 13, 14, 14, 14, 13, 14, 14, 13, 13, 14, 14, 14]
